"id","denomination_id","name","family_census","family_arda","family_relec","short_name","year"
29,"0-2-5","Two-Seed-in-the-Spirit Predestinarian Baptists","Baptist bodies","Baptist","Baptist","Two-Seed-in-the-Spirit Predestinarian Baptists",1926
30,,"Independent Baptist Church of America","Baptist bodies","Baptist","Baptist","Independent Baptist Church of America",1926
31,,"American Baptist Association","Baptist bodies","Baptist","Baptist","American Baptist Association",1926
32,"0-2-6","Church of the Brethren (Conservative Dunkers)","German Baptist Brethren (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist","Church of the Brethren (Conservative Dunkers)",1926
33,"0-2-7","Old German Baptist Brethren","German Baptist Brethren (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist","Old German Baptist Brethren",1926
34,"0-2-8","The Brethren Church (Progressive Dunkers)","German Baptist Brethren (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist","The Brethren Church (Progressive Dunkers)",1926
35,"0-2-9","Seventh Day Baptists (German, 1728)","German Baptist Brethren (Dunkers)","Baptist","Anabaptist","Seventh Day Baptists (German, 1728)",1926
36,"0-3-0","Church of God (New Dunkers)","German Baptist Brethren (Dunkers)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist","Church of God (New Dunkers)",1926
37,"0-3-1","Plymouth Brethren I","Plymouth Brethren","Independent Fundamentalist","Plymouth Brethren","Plymouth Brethren I",1926
38,"0-3-2","Plymouth Brethren II","Plymouth Brethren","Independent Fundamentalist","Plymouth Brethren","Plymouth Brethren II",1926
39,"0-3-3","Plymouth Brethren III","Plymouth Brethren","Independent Fundamentalist","Plymouth Brethren","Plymouth Brethren III",1926
40,"0-3-4","Plymouth Brethren IV","Plymouth Brethren","Independent Fundamentalist","Plymouth Brethren","Plymouth Brethren IV",1926
41,"0-3-5","Plymouth Brethren V","Plymouth Brethren","Independent Fundamentalist","Plymouth Brethren","Plymouth Brethren V",1926
42,"0-3-6","Plymouth Brethren VI","Plymouth Brethren","Independent Fundamentalist","Plymouth Brethren","Plymouth Brethren VI",1926
43,"0-3-7","Brethren in Christ","River Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist","Brethren in Christ",1926
44,"0-3-8","Old Order or Yorker Brethren","River Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist","Old Order or Yorker Brethren",1926
45,"0-3-9","United Zion’s Children","River Brethren","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist","United Zion’s Children",1926
46,"0-4-2","Catholic Apostolic Church",,"Other Groups","Restorationist","Catholic Apostolic Church",1926
47,"0-4-3","Christadelphians",,"Other Groups","Restorationist","Christadelphians",1926
48,"0-4-4","Christian and Missionary Alliance",,"Holiness","Holiness","Christian and Missionary Alliance",1926
49,"0-4-5","Christian Church (General Convention of the Christian Church)",,,"Restorationist","Christian Church",1926
50,"2-1-9","Christian Science Parent Church",,,"Christian Science","Christian Science Parent Church",1926
51,"0-4-6","Christian Union",,"Holiness","Restorationist","Christian Union",1926
52,"0-0-6","Church of Armenia in America",,"Eastern Liturgical (Orthodox)","Orthodox","Church of Armenia in America",1926
53,,"Church of Christ (Holiness) U.S.A.",,"Holiness","Holiness","Church of Christ (Holiness) U.S.A.",1926
54,"2-0-6","Church of Christ, Scientist",,"Christian Science","Christian Science","Church of Christ, Scientist",1926
55,"2-0-5","Church of God (Headquarters, Anderson, Ind.)",,"Holiness","Holiness","Church of God (Anderson, Ind.)",1926
56,"0-4-7","Church of God and Saints of Christ",,"Judaism","Other groups","Church of God and Saints of Christ",1926
57,"2-3-4","Church of God in Christ",,"Pentecostal","Pentecostal","Church of God in Christ",1926
58,"1-5-9","Church of the Nazarene",,"Holiness","Holiness","Church of the Nazarene",1926
59,"0-4-9","Churches of Christ",,"Restorationist","Restorationist","Churches of Christ",1926
60,"2-4-3","Churches of God, Holiness",,"Holiness","Holiness","Churches of God, Holiness",1926
61,"0-5-1","Churches of God in North America (General Eldership)",,"Presbyterian-Reformed","Restorationist","Churches of God in North America",1926
62,"0-5-3","Church of the Living God, Christian Workers for Fellowship","Churches of the Living God","Pentecostal","Pentecostal","Church of the Living God, Christian Workers for Fellowship",1926
63,"0-5-2","Church of the Living God, “The Pillar and Ground of Truth”","Churches of the Living God","Pentecostal","Pentecostal","Church of the Living God, “The Pillar and Ground of Truth”",1926
64,"0-5-5","General Convention of the New Jerusalem in the United States of America","Churches of the New Jerusalem"," Spiritualist","Swedenborgian","General Convention of the New Jerusalem in the United States",1926
65,"0-5-6","General Church of the New Jerusalem","Churches of the New Jerusalem"," Spiritualist","Swedenborgian","General Church of the New Jerusalem",1926
66,"0-5-7","Amana Society","Communistic societies","Communal","Communitarian Societies","Amana Society",1926
67,"0-5-8","United Society of Believers (Shakers)","Communistic societies","Communal","Communitarian Societies","United Society of Believers (Shakers)",1926
68,"0-5-9","Congregational Churches",,"Congregationalists","Congregational","Congregational Churches",1926
69,"2-3-0","Congregational Holiness Church",,"Pentecostal","Pentecostal","Congregational Holiness Church",1926
70,"0-6-0","Disciples of Christ",,"Restorationist","Restorationist","Disciples of Christ",1926
71,"2-3-2","Divine Science Church",,"Christian Science","New Thought","Divine Science Church",1926
72,"0-6-1","Albanian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Orthodox","Albanian Orthodox Church",1926
73,"0-6-2","Bulgarian Orthodox Church","Eastern Orthodox Churches",,"Orthodox","Bulgarian Orthodox Church",1926
74,"0-6-3","Greek Orthodox Church (Hellenic)","Eastern Orthodox Churches","Eastern Liturgical Family (Orthodox)","Orthodox","Greek Orthodox Church (Hellenic)",1926
75,"0-6-4","Roumanian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical Family (Orthodox)","Orthodox","Roumanian Orthodox Church",1926
76,"0-6-5","Russian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical Family (Orthodox)","Orthodox","Russian Orthodox Church",1926
77,"0-6-6","Serbian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical Family (Orthodox)","Orthodox","Serbian Orthodox Church",1926
78,"0-6-7","Syrian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical Family (Orthodox)","Orthodox","Syrian Orthodox Church",1926
79,"0-6-8","Evangelical Church",,"Methodist/Pietist","Methodist","Evangelical Church",1926
80,"1-9-6","Evangelical Congregational Church",,"Methodist/Pietist","Methodist","Evangelical Congregational Church",1926
81,"0-9-0","Evangelical Synod of North America",,"Reformed/Presbyterian","Reformed","Evangelical Synod of North America",1926
82,"0-7-1","Apostolic Christian Church","Evangelistic associations","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptist","Apostolic Christian Church",1926
83,"0-7-2","Apostolic Faith Mission","Evangelistic associations","Pentecostal","Pentecostal","Apostolic Faith Mission",1926
84,"0-7-3","Christian Congregation","Evangelistic associations",,"Restorationist","Christian Congregation",1926
85,"0-7-4","Church of Daniel's Band","Evangelistic associations","Methodist/Pietist","Holiness","Church of Daniel’s Band",1926
86,"0-7-5","Church of God as Organized by Christ","Evangelistic associations","Other Groups","Other groups","Church of God as Organized by Christ",1926
87,"0-7-7","Hephzibah Faith Missionary Association","Evangelistic associations","Other Groups","Holiness","Hephzibah Faith Missionary Association",1926
88,"0-7-9","Metropolitan Church Association","Evangelistic associations","Holiness","Holiness","Metropolitan Church Association",1926
89,"0-8-0","Missionary Church Association","Evangelistic associations","Holiness","Holiness","Missionary Church Association",1926
90,"0-8-2","Missionary Bands of the World","Evangelistic associations","Methodist/Pietist","Holiness","Missionary Bands of the World",1926
91,"0-8-3","Pillar of Fire","Evangelistic associations","Holiness","Holiness","Pillar of Fire",1926
92,"2-2-0","Church of God (Apostolic)","Evangelistic associations","Pentecostal","Pentecostal","Church of God (Apostolic)",1926
93,"2-2-4","Federated Churches",,"Other Groups","Other groups","Federated Churches",1926
94,"0-8-5","Free Christian Zion Church of Christ",,"Methodist/Pietist","Holiness","Free Christian Zion Church of Christ",1926
95,"2-4-2","Free Church of God in Christ",,"Pentecostal","Pentecostal","Free Church of God in Christ",1926
96,"0-8-6","Society of Friends (Orthodox)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Society of Friends (Orthodox)",1926
97,"0-8-7","Religious Society of Friends (Hicksite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Religious Society of Friends (Hicksite)",1926
98,"0-8-8","Orthodox Conservative Friends (Wilburite)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Orthodox Conservative Friends (Wilburite)",1926
99,"0-8-9","Friends (Primitive)","Friends","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Friends","Friends (Primitive)",1926
100,"0-9-1","Holiness Church",,,"Holiness","Holiness Church",1926
101,"0-9-2","Independent Churches",,,"Other groups","Independent Churches",1926
102,,"Jewish Congregations",,"Judaism","Jewish","Jewish Congregations",1926
103,"0-9-6","Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism)","Latter Day Saints","Church of Jesus Christ of Latter-day Saints",1926
104,"0-9-7","Reorganized Church of Jesus Christ of Latter Day Saints","Latter-day Saints","Latter-day Saints  (Mormonism)","Latter Day Saints","Reorganized Church of Jesus Christ of Latter Day Saints",1926
105,"2-2-6","Liberal Catholic Church",,"Other Groups","Other groups","Liberal Catholic Church",1926
106,"2-1-3","Liberal Church of America",,"Other Groups","Other groups","Liberal Church of America",1926
107,"0-9-8","Lithuanian National Catholic Church of America",,"Western Liturgical (Catholicism)","Other groups","Lithuanian National Catholic Church of America",1926
108,"0-9-9","United Lutheran Church in America","Lutherans","Lutheran","Lutheran","United Lutheran Church in America",1926
109,"1-0-3","Evangelical Lutheran Augustana Synod of North America","Lutherans","Lutheran","Lutheran","Evangelical Lutheran Augustana Synod",1926
110,"1-1-4","Evangelical Lutheran Synodical Conference of America: Evangelical Lutheran Synod of Missouri, Ohio, and Other States","Lutherans","Lutheran","Lutheran","Evangelical Lutheran Synod of Missouri, Ohio, and Other States",1926
111,"1-1-5","Evangelical Lutheran Synodical Conference of America: Evangelical Lutheran Joint Synod of Wisconsin and Other States","Lutherans","Lutheran","Lutheran","Evangelical Lutheran Joint Synod of Wisconsin and Other States",1926
112,"1-1-6","Evangelical Lutheran Synodical Conference of America: Slovak Evangelical Lutheran Synod of the United States of America","Lutherans","Lutheran","Lutheran","Slovak Evangelical Lutheran Synod of the United States",1926
113,"1-1-7","Evangelical Lutheran Synodical Conference of America: Norwegian Synod of the American Evangelical Lutheran Church","Lutherans","Lutheran","Lutheran","Norwegian Synod of the American Evangelical Lutheran Church",1926
114,"1-0-4","Norwegian Lutheran Church of America","Lutherans","Lutheran","Lutheran","Norwegian Lutheran Church of America",1926
115,"1-0-0","Evangelical Lutheran Joint Synod of Ohio and Other States","Lutherans","Lutheran","Lutheran","Evangelical Lutheran Joint Synod of Ohio and Other States",1926
116,"1-0-2","Lutheran Synod of Buffalo","Lutherans","Lutheran","Lutheran","Lutheran Synod of Buffalo",1926
117,"1-0-6","Evangelical Lutheran Church in America (Eielsen Synod)","Lutherans","Lutheran","Lutheran","Evangelical Lutheran Church in America (Eielsen Synod)",1926
118,"1-0-1","Evangelical Lutheran Synod of Iowa and Other States","Lutherans","Lutheran","Lutheran","Evangelical Lutheran Synod of Iowa and Other States",1926
119,"1-0-9","Danish Evangelical Lutheran Church in America","Lutherans","Lutheran","Lutheran","Danish Evangelical Lutheran Church in America",1926
120,,"Icelandic Evangelical Lutheran Synod in North America","Lutherans","Lutheran","Lutheran","Icelandic Evangelical Lutheran Synod in North America",1926
121,"1-1-1","Finnish Evangelical Lutheran Church of America, or Suomi Synod","Lutherans","Lutheran","Lutheran","Finnish Evangelical Lutheran Church of America",1926
122,"1-0-5","Lutheran Free Church","Lutherans","Lutheran","Lutheran","Lutheran Free Church",1926
123,"1-0-8","United Danish Evangelical Lutheran Church in America","Lutherans","Lutheran","Lutheran","United Danish Evangelical Lutheran Church in America",1926
124,"1-1-2","Finnish Evangelical Lutheran National Church of America","Lutherans","Lutheran","Lutheran","Finnish Evangelical Lutheran National Church of America",1926
125,"1-1-3","Finnish Apostolic Lutheran Church","Lutherans","Lutheran","Lutheran","Finnish Apostolic Lutheran Church",1926
126,"1-0-7","Church of the Lutheran Brethren of America","Lutherans","Lutheran","Lutheran","Church of the Lutheran Brethren of America",1926
127,"2-1-6","Evangelical Lutheran Jehovah Conference","Lutherans",,"Lutheran","Evangelical Lutheran Jehovah Conference",1926
128,"2-0-1","Independent Lutheran Congregations","Lutherans",,"Lutheran","Independent Lutheran Congregations",1926
129,"2-0-4","Negro Mission of the Synodical Conference",,"Lutheran","Lutheran","Negro Mission of the Synodical Conference",1926
130,"1-1-8","Mennonite Church","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Mennonite Church",1926
131,"1-1-9","Hutterian Brethren, Mennonites","Mennonite bodies","Communal","Mennonite","Hutterian Brethren, Mennonites",1926
132,"1-2-0","Conservative American Mennonite Church","Mennonite bodies",,"Mennonite","Conservative American Mennonite Church",1926
133,"1-2-1","Old Order Amish Mennonite Church","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Old Order Amish Mennonite Church",1926
134,"1-2-2","Church of God in Christ (Mennonite)","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Church of God in Christ (Mennonite)",1926
135,"1-2-3","Old Order Mennonite Church (Wisler)","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Old Order Mennonite Church (Wisler)",1926
136,"1-2-4","Reformed Mennonite Church","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Reformed Mennonite Church",1926
137,"1-2-5","General Conference of the Mennonite Church of North America","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","General Conference of the Mennonite Church of North America",1926
138,"1-2-6","Defenseless Mennonites","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Defenseless Mennonites",1926
139,"1-2-7","Mennonite Brethren in Christ","Mennonite bodies","Holiness","Mennonite","Mennonite Brethren in Christ",1926
140,"1-2-8","Mennonite Brethren Church of North America","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Mennonite Brethren Church of North America",1926
141,"1-2-9","Krimmer Brueder-Gemeinde","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Krimmer Brueder-Gemeinde",1926
142,"1-3-0","Mennonite Kleine Gemeinde","Mennonite bodies",,"Mennonite","Mennonite Kleine Gemeinde",1926
143,"1-3-1","Central Conference of Mennonites","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Central Conference of Mennonites",1926
144,"1-3-2","Conference of the Defenseless Mennonites of North America","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Conference of the Defenseless Mennonites of North America",1926
145,"1-3-3","Stauffer Mennonite Church","Mennonite bodies","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite","Stauffer Mennonite Church",1926
146,"2-2-7","Unaffiliated Mennonite Congregations","Mennonite bodies",,"Mennonite","Unaffiliated Mennonite Congregations",1926
147,"1-3-4","Methodist Episcopal Church","Methodist bodies","Methodist/Pietist","Methodist","Methodist Episcopal Church",1926
148,"1-3-5","Methodist Protestant Church","Methodist bodies","Methodist/Pietist","Methodist","Methodist Protestant Church",1926
149,"1-3-6","Wesleyan Methodist Connection (or Church) of America","Methodist bodies","Holiness Family","Methodist","Wesleyan Methodist Connection",1926
150,"1-3-7","Primitive Methodist Church in the United States of America","Methodist bodies","Methodist/Pietist","Methodist","Primitive Methodist Church in the United States",1926
151,"1-3-8","Methodist Episcopal Church, South","Methodist bodies","Methodist/Pietist","Methodist","Methodist Episcopal Church, South",1926
152,"1-3-9","Congregational Methodist Church","Methodist bodies","Methodist/Pietist","Methodist","Congregational Methodist Church",1926
153,"1-4-0","Free Methodist Church of North America","Methodist bodies","Holiness","Methodist","Free Methodist Church of North America",1926
154,"1-4-1","New Congregational Methodist Church","Methodist bodies","Methodist/Pietist","Methodist","New Congregational Methodist Church",1926
155,"0-7-8","Holiness Methodist Church","Methodist bodies","Holiness","Methodist","Holiness Methodist Church",1926
156,"2-3-6","Reformed Methodist Church","Methodist bodies","Holiness","Methodist","Reformed Methodist Church",1926
157,"1-4-2","African Methodist Episcopal Church","Methodist bodies","Methodist/Pietist","Methodist","African Methodist Episcopal Church",1926
158,"1-4-3","African Methodist Episcopal Zion Church","Methodist bodies","Methodist/Pietist","Methodist","African Methodist Episcopal Zion Church",1926
159,"1-4-4","Colored Methodist Protestant Church","Methodist bodies","Methodist/Pietist","Methodist","Colored Methodist Protestant Church",1926
160,"1-4-5","Union American Methodist Episcopal Church","Methodist bodies","Methodist/Pietist","Methodist","Union American Methodist Episcopal Church",1926
161,"1-4-6","African Union Methodist Protestant Church","Methodist bodies","Methodist/Pietist","Methodist","African Union Methodist Protestant Church",1926
162,"1-4-7","Colored Methodist Episcopal Church","Methodist bodies","Methodist/Pietist","Methodist","Colored Methodist Episcopal Church",1926
163,"1-4-8","Reformed Zion Union Apostolic Church","Methodist bodies","Methodist/Pietist","Methodist","Reformed Zion Union Apostolic Church",1926
164,"1-5-0","Reformed Methodist Union Episcopal Church","Methodist bodies","Methodist/Pietist","Methodist","Reformed Methodist Union Episcopal Church",1926
165,"2-2-8","Independent African Methodist Episcopal Church","Methodist bodies",,"Methodist","Independent African Methodist Episcopal Church",1926
166,"1-5-1","Moravian Church in America","Moravian bodies","Methodist/Pietist","Moravian","Moravian Church in America",1926
167,"1-5-2","Evangelical Unity of Bohemian and Moravian Brethren in North America","Moravian bodies","Methodist/Pietist","Moravian","Evangelical Unity of Bohemian and Moravian Brethren",1926
168,"1-5-3","Bohemian and Moravian Brethren Churches","Moravian bodies","Methodist/Pietist","Moravian","Bohemian and Moravian Brethren Churches",1926
169,"1-5-4","New Apostolic Church",,,"Restorationist","New Apostolic Church",1926
170,"1-5-7","American Catholic Church","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic","American Catholic Church",1926
171,"1-5-6","Old Catholic Church in America","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic","Old Catholic Church in America",1926
172,"2-3-5","North American Old Roman Catholic Church","Old Catholic Churches in America","Western Liturgical (Catholicism)","Old Catholic","North American Old Roman Catholic Church",1926
173,"2-3-1","The (Original) Church of God",,"Pentecostal","Pentecostal","The (Original) Church of God",1926
174,"2-2-9","Pentecostal Assemblies of the World",,"Pentecostal","Pentecostal","Pentecostal Assemblies of the World",1926
175,"1-6-0","Pentecostal Holiness Church",,"Pentecostal","Pentecostal","Pentecostal Holiness Church",1926
176,"0-9-3","Pilgrim Holiness Church",,"Holiness","Holiness","Pilgrim Holiness Church",1926
177,"1-6-1","Polish National Catholic Church of America",,"Western Liturgical (Catholicism)","Other groups","Polish National Catholic Church of America",1926
178,"1-6-2","Presbyterian Church in the United States of America","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Presbyterian Church U.S.A.",1926
179,"1-6-3","Cumberland Presbyterian Church","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Cumberland Presbyterian Church",1926
180,"1-6-4","Colored Cumberland Presbyterian Church","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Colored Cumberland Presbyterian Church",1926
181,"1-6-6","United Presbyterian Church of North America","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","United Presbyterian Church of North America",1926
182,"1-6-7","Presbyterian Church in the United States","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Presbyterian Church in the United States",1926
183,"1-6-8","Associate Synod of North America (Associate Presbyterian Church)","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Associate Presbyterian Church",1926
184,"1-6-9","Associate Reformed Presbyterian Church","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Associate Reformed Presbyterian Church",1926
185,"1-7-0","Synod of the Reformed Presbyterian Church of North America","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Synod of the Reformed Presbyterian Church of North America",1926
186,"1-7-1","Reformed Presbyterian Church in North America, General Synod","Presbyterian bodies","Presbyterian-Reformed","Presbyterian","Reformed Presbyterian Church in North America",1926
187,"1-7-2","Protestant Episcopal Church",,"Anglican","Episcopalian","Protestant Episcopal Church",1926
188,"1-7-3","Reformed Church in America","Reformed bodies"," Presbyterian-Reformed","Reformed","Reformed Church in America",1926
189,"1-7-4","Reformed Church in the United States","Reformed bodies"," Presbyterian-Reformed","Reformed","Reformed Church in the United States",1926
190,"1-7-5","Christian Reformed Church","Reformed bodies"," Presbyterian-Reformed","Reformed","Christian Reformed Church",1926
191,"1-7-6","Free Magyar Reformed Church in America","Reformed bodies"," Presbyterian-Reformed","Reformed","Free Magyar Reformed Church in America",1926
192,"1-7-7","Reformed Episcopal Church",,"Anglican","Episcopalian","Reformed Episcopal Church",1926
193,"1-7-8","Roman Catholic Church",,"Western Liturgical  (Catholicism)","Catholic","Roman Catholic Church",1926
194,"1-7-9","Salvation Army",,"Holiness","Holiness","Salvation Army",1926
195,"1-8-0","Swedish Evangelical Mission Covenant of America","Scandanavian Evangelical Bodies","Methodist/Pietist","Pietist","Swedish Evangelical Mission Covenant of America",1926
196,"1-8-1","Swedish Evangelical Free Church of the United States of America","Scandanavian Evangelical Bodies","Methodist/Pietist","Pietist","Swedish Evangelical Free Church of the United States",1926
197,"1-8-2","Norwegian and Danish Evangelical Free Church Association of North America","Scandanavian Evangelical Bodies","Methodist/Pietist","Pietist","Norwegian and Danish Evangelical Free Church Association",1926
198,"1-8-3","Schwenkfelders",,"European Free-Church (Brethren, Mennonites, Quakers, Amish)","Other groups","Schwenkfelders",1926
199,"1-8-4","Social Brethren",,"Other Groups","Other groups","Social Brethren",1926
200,"1-8-6","National Spiritualist Association","Spiritualists","Spiritualist","Spiritualist","National Spiritualist Association",1926
201,"1-8-7","Progressive Spiritual Church","Spiritualists","Spiritualist","Spiritualist","Progressive Spiritual Church",1926
202,"2-3-7","National Spiritual Alliance of the United States of America","Spiritualists","Spiritualist","Spiritualist","National Spiritual Alliance of the United States",1926
203,"1-8-8","Temple Society of America",,"Communal","Other groups","Temple Society of America",1926
204,"1-9-1","American Theosophical Society","Theosophical societies","Other Groups","Theosophical","American Theosophical Society",1926
205,"1-9-0","Theosophical Society of New York, Independent","Theosophical societies",,"Theosophical","Theosophical Society of New York, Independent",1926
206,"1-9-2","Universal Brotherhood and Theosophical Society","Theosophical societies",,"Theosophical","Universal Brotherhood and Theosophical Society",1926
207,"1-9-3","Unitarians",,"Liberal","Other groups","Unitarians",1926
208,"1-9-4","Church of the United Brethren in Christ","United Brethren bodies","Methodist/Pietist","United Brethren","Church of the United Brethren in Christ",1926
209,"1-9-5","Church of the United Brethren in Christ (Old Constitution)","United Brethren bodies","Methodist/Pietist","United Brethren","Church of the United Brethren in Christ (Old Constitution)",1926
210,"2-1-7","United Christian Church","United Brethren bodies","Methodist/Pietist","United Brethren","United Christian Church",1926
211,"1-9-7","Universalist Church",,"Liberal","Other groups","Universalist Church",1926
212,"1-9-8","Vedanta Society",,"Other Groups","Other groups","Vedanta Society",1926
213,"1-9-9","Volunteers of America",,"Holiness","Other groups","Volunteers of America",1926
214,"0-5-0","Church of God",,,"Pentecostal","Church of God",1926
456,,"Evangelical Lutheran Synod of Missouri, Ohio, and Other States","Lutheran","Lutheran ","Lutheran"," Evangelical Lutheran Synod of Missouri, Ohio, and Other States",1936
457,,"Norwegian Synod of the American Evangelical Lutheran Church","Lutheran","Lutheran ","Lutheran"," Norwegian Synod of the American Evangelical Lutheran Church",1936
458,,"(Tomlinson) Church of God","Churches of God","Pentecostal","Pentecostal","(Tomlinson) Church of God",1936
459,,"Advent Christian Church","Adventist","Adventist","Adventist","Advent Christian Church",1936
460,,"African Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist","African Methodist Episcopal Church",1936
461,,"African Methodist Episcopal Zion Church","Methodist","Methodist/Pietist","Methodist","African Methodist Episcopal Zion Church",1936
462,,"African Orthodox Church","African Orthodox Church","Eastern Liturgical (Orthodox)","Orthodox","African Orthodox Church",1936
463,,"African Union Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist","African Union Methodist Protestant Church",1936
464,,"Albanian Orthodox Church","Eastern Orthodox Churches","Eastern Liturgical (Orthodox)","Eastern Orthodox","Albanian Orthodox Church",1936
465,,"Amana Church Society","Amana Church Society","Communal ","Communitarian Societies","Amana Church Society",1936
466,,"American Baptist Association","Baptist","Baptist","Baptist","American Baptist Association",1936
